nombre,etiqueta,categoria,precio,url,imagen
Brazil,,Bufanda de futbol Nike Local Verbiage,"$1,099",https://www.nike.com/mx/t/bufanda-de-futbol-nike-local-verbiage-brazil-fjVqX9hL/JF6842-976,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/62a96c33-0ee0-4645-a435-e5236b5e8e7b/CBF+LOCAL+VERBIAGE+SCARF+2.0.png"
USA,,Bufanda de futbol Nike Local Verbiage,"$1,099",https://www.nike.com/mx/t/bufanda-de-futbol-nike-local-verbiage-usa-XwISohvt/JF6843-976,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/fc190076-09a8-4c48-b3c2-aecc35ed2fdd/USA+LOCAL+VERBIAGE+SCARF+2.0.png"
USA Club,,Gorra de futbol Nike,$759,https://www.nike.com/mx/t/gorra-de-futbol-nike-usa-club-WSeL4uv1/JF6761-133,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/20a633d0-9758-4042-81df-adb7d5c49a12/USA+U+NK+CLUB+CAP+H86.png"
USA Pro,,Gorra de futbol Nike para niños talla grande,$759,https://www.nike.com/mx/t/gorra-de-futbol-nike-para-ninos-talla-grande-usa-pro-DXBdxLRp/JF6775-419,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/64215fa7-fb78-4c29-b063-33f3f68301ea/USA+K+NK+PRO+CAP+PRO.png"
Croacia,,Bufanda de futbol Nike Local Verbiage,"$1,099",https://www.nike.com/mx/t/bufanda-de-futbol-nike-local-verbiage-de-croacia-fPMiTJNP/JF6847-976,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/78a4a70f-75c3-48ab-8dc7-cdd39574d9cd/CRO+LOCAL+VERBIAGE+SCARF+2.0.png"
USA Club,,Gorra de futbol Nike,$759,https://www.nike.com/mx/t/gorra-de-futbol-nike-usa-club-WSeL4uv1/JF6761-419,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/3ebf16a2-a414-4498-b84f-3c6166e80a7d/USA+U+NK+CLUB+CAP+H86.png"
Canada,,Bufanda de futbol Nike Local Verbiage,"$1,099",https://www.nike.com/mx/t/bufanda-de-futbol-nike-local-verbiage-canada-aoIWQcxe/JF6841-976,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b493ea26-6259-42a1-949b-c10c8cf24180/CAN+LOCAL+VERBIAGE+SCARF+2.0.png"
"Nike Academy ""Vini Jr.""",,Balón de fútbol,$799,https://www.nike.com/mx/t/academy-vini-jr-balon-de-futbol-8UFjeanx/IO9395-628,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/ad1dffdf-8dd5-45be-ad6b-401d2d528ff3/NK+VJR+ACADEMY+-+SP26.png
Nike Academy,,Calcetines de fútbol hasta la rodilla,$349,https://www.nike.com/mx/t/calcetines-de-futbol-hasta-la-rodilla-nike-academy-wwdjrW/SX4120-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/wyz6scffaw8pr3c7miwm/U+NK+ACDMY+OTC+132.png"
Nike Academy,,10% de descuento,$449,https://www.nike.com/mx/t/bolsa-para-calzado-de-futbol-nike-academy-Ndl5n6/DC2648-852,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5982b005-6aa7-49f6-aa18-09df8c5aaac8/NK+ACDMY+SHOEBAG+-+SP21.png"
Nike Strike,,40% de descuento,$349,https://www.nike.com/mx/t/calcetas-de-futbol-nike-strike-pJ01cK/DH6620-100,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a9cdeb12-ef3f-4e23-86c8-71438208a988/U+NK+STRIKE+CREW+WC22.png"
Nike Pro,,19% de descuento,$899,https://www.nike.com/mx/t/tobillera-de-tejido-knit-nike-pro-rIYc1YSf/DA6933-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/73ee7d43-7ec2-47c6-9d1f-fd93c666aa92/NIKE+PRO+KNIT+ANKLE+SLEEVE.png"
Nike Academy Total 90,,10% de descuento,$799,https://www.nike.com/mx/t/balon-de-futbol-nike-academy-total-90-LaAGsLbw/II3760-707,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/45f8ea72-054d-486e-8e33-8b6c188ed7ad/NK+ACADEMY+T90+METALLIC+SP26.png"
