categoria,imagen,nombre,precio,url
Calzado de tenis para cancha de arcilla para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/febef907-04df-44f6-8b9f-fd9ca007dd6a/M+NIKE+COURT+LITE+4+CLY.png",NikeCourt Lite 4,"$1,999",https://www.nike.com/mx/t/calzado-de-tenis-para-cancha-de-arcilla-para-hombre-nikecourt-lite-4-H1DfDD/FN0530-101
Tacos de fútbol para terrenos múltiples de corte low,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/7de1c574-6826-47ed-94c3-1c32bc9d9178/TIEMPO+MAESTRO+ACADEMY+FG%2FMG.png",Nike Tiempo Maestro Academy,"$2,099",https://www.nike.com/mx/t/tacos-de-futbol-de-corte-low-para-terrenos-multiples-nike-tiempo-maestro-academy-W4HekVw4/IB1600-101
Tacos de futbol para pasto sintético (turf) de corte high,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/71dabb8a-6ec5-4d12-81c5-d31d70ed5458/SUPERFLY+11+ACADEMY+TF.png",Nike Mercurial Superfly 11 Academy,"$2,499",https://www.nike.com/mx/t/tacos-de-futbol-para-pasto-sintetico-turf-de-corte-high-nike-mercurial-superfly-11-academy-zhmyU85x/IO1494-100
Tenis,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/11366d8e-0534-42e3-818f-bd6fcbbe4ff7/NIKE+P-6000+SE+LOS.png",Nike P-6000 SE,"$2,999",https://www.nike.com/mx/t/tenis-nike-p-6000-se-7g4QrN0Q/IO3370-002
Tacos de fútbol para pasto sintético (turf),"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b9260518-9672-4245-81f9-4e960a5561fc/REACTX+PHANTOM+6+LOW+PRO+TF.png",Nike Phantom 6 Low Pro,"$3,199",https://www.nike.com/mx/t/tacos-de-futbol-para-pasto-sintetico-turf-nike-phantom-6-low-pro-mZox8kmd/HJ4123-600
Tacos de futbol para pasto sintético (turf) de corte low,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a3df9a78-aaf3-4e90-adda-3dc02e82dee6/VAPOR+17+ACADEMY+TF.png",Nike Mercurial Vapor 17 Academy,"$2,399",https://www.nike.com/mx/t/tacos-de-futbol-para-pasto-sintetico-turf-de-corte-low-nike-mercurial-vapor-17-academy-C4nM1a5v/IO5002-600
Tacos de futbol para terrenos múltiples de corte high,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0e320959-2f83-4065-820f-f545feb81de0/SUPERFLY+11+ACADEMY+FG%2FMG.png",Nike Mercurial Superfly 11 Academy,"$2,499",https://www.nike.com/mx/t/tacos-de-futbol-para-terrenos-multiples-de-corte-high-nike-mercurial-superfly-11-academy-SdNiSkj7/IO1485-100
Tacos de fútbol para pasto sintético (turf),"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/307231f5-5f8f-45bf-afaa-d0c7375ae41b/PHANTOM+6+HIGH+ACAD+TF.png",Nike Phantom 6 High Academy,"$2,499",https://www.nike.com/mx/t/tacos-de-futbol-para-pasto-sintetico-turf-nike-phantom-6-high-academy-R1VThVxf/HQ2277-600
Tacos de fútbol para terrenos múltiples,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/99b3f859-407e-4cff-aa60-9a864abbe3c7/PHANTOM+6+HIGH+ACAD+FG%2FMG.png",Nike Phantom 6 High Academy,"$2,499",https://www.nike.com/mx/t/phantom-6-high-academy-tacos-de-futbol-para-terrenos-multiples-TSrzViyX/HQ2278-600
Tacos de fútbol para pasto sintético (turf),"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/81866844-dfd7-499f-88f9-b2eb5a167137/PHANTOM+6+HIGH+CLUB+TF.png",Nike Phantom 6 High Club,"$1,799",https://www.nike.com/mx/t/tacos-de-futbol-para-pasto-sintetico-turf-nike-phantom-6-high-club-O7uTFA32/HQ2276-600
Tacos de fútbol para terreno firme,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/48e263f3-d1f1-4d44-81d3-2092abd68a99/PHANTOM+6+LOW+ELITE+FG.png",Nike Phantom 6 Low Elite,"$5,899",https://www.nike.com/mx/t/tacos-de-futbol-para-terreno-firme-nike-phantom-6-low-elite-F8j81aUI/HJ2146-600
Tacos de fútbol para pasto sintético (turf),"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/1c705de0-ba6e-4c71-b69b-40a5113f0d4e/PHANTOM+6+LOW+ACAD+TF.png",Nike Phantom 6 Low Academy,"$2,199",https://www.nike.com/mx/t/tacos-de-futbol-para-pasto-sintetico-turf-nike-phantom-6-low-academy-Fmu2eYN4/HQ2325-600
Tenis para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4bc86f1c-997b-49e9-bf58-d86c78d26582/AIR+MAX+90.png",Nike Air Max 90,"$2,999",https://www.nike.com/mx/t/tenis-para-hombre-nike-air-max-90-asbDYLvw/IM9616-001
Tacos de fútbol para terreno firme de corte low,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a61f43dd-0b09-45b3-ac20-9e2f6298b6d8/TIEMPO+MAESTRO+ELITE+FG.png",Nike Tiempo Maestro Elite,"$5,999",https://www.nike.com/mx/t/tacos-de-futbol-para-terreno-firme-de-corte-low-nike-tiempo-maestro-elite-AwUfgokN/HQ3157-101
Tenis para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/009d1cbd-81a0-4b3f-879a-97803ccb2a14/AIR+MAX+FIRE.png",Nike Air Max Fire,"$2,199",https://www.nike.com/mx/t/tenis-para-hombre-nike-air-max-fire-fpx9GLPZ/IR0819-011
Tenis de correr en pavimento para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/c9f4aceb-a20e-4011-86f5-de151e4cc698/NIKE+PEGASUS+PREMIUM.png",Nike Pegasus Premium,"$4,999",https://www.nike.com/mx/t/tenis-de-correr-en-pavimento-para-hombre-nike-pegasus-premium-DC1Cxh/HQ2592-019
Tenis para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a3c69b13-b8ac-4a08-a0dd-3ec01f737f35/TENNIS+CLASSIC+CS.png",Tennis Classic CS,"$2,399",https://www.nike.com/mx/t/tenis-para-hombre-tennis-classic-cs-PHZe1lSY/IV2437-100
Tenis de trail running para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b161d676-95c8-40bc-93ff-e5dbe484047c/NIKE+ACG+PEGASUS+TRAIL.png",Nike ACG Pegasus Trail,"$3,099",https://www.nike.com/mx/t/tenis-de-trail-running-para-hombre-nike-acg-pegasus-trail-59KaIsTb/HV8116-301
Tenis para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/88e1020e-4f52-4000-b44c-b421c73b9db1/AIR+JORDAN+3+RETRO+OG.png","Air Jordan 3 Retro ""True Blue""","$4,499",https://www.nike.com/mx/t/tenis-para-hombre-air-jordan-3-retro-true-blue-8WKWon32/IF4396-104
Tenis de correr en pavimento para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/00d620c2-e023-4a24-a96d-7b850c3678d6/NIKE+VOMERO+18.png",Nike Vomero 18,"$3,399",https://www.nike.com/mx/t/tenis-de-correr-en-pavimento-para-hombre-nike-vomero-18-JW7z8ruR/HM6803-021
Tenis de trail running para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8b2dbcd2-611a-445d-8789-a90c4a629820/NIKE+ACG+ZEGAMA+TRAIL.png",ACG Zegama Trail,"$4,199",https://www.nike.com/mx/t/tenis-de-trail-running-para-hombre-acg-zegama-trail-K3SIdwYZ/HV8113-300
Tenis de correr en pavimento para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ca0587b0-8837-4b8e-90e1-98fa3ae000f5/AIR+ZOOM+PEGASUS+42.png",Nike Pegasus 42,"$3,299",https://www.nike.com/mx/t/tenis-de-correr-en-pavimento-para-hombre-nike-pegasus-42-yKhguOhl/IB1873-008
Tenis de básquetbol,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/c6b8a5cf-1f1d-45a2-a272-fccc40e81288/KD19.png",KD19,"$3,799",https://www.nike.com/mx/t/tenis-de-basquetbol-kd19-smwkQCyS/IH1117-400
Tenis,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e71f12e9-4ad1-4299-b010-f47f5d40dbe7/DUNK+LOW+PROTRO.png",Kobe Dunk Low Protro,"$3,099",https://www.nike.com/mx/t/tenis-kobe-dunk-low-protro-MrCH77FW/IQ3919-001
